iter	Passed	Remaining
0	1	1694
1	2	1385
2	3	1243
3	4	1152
4	5	1135
5	6	1127
6	7	1120
7	8	1087
8	9	1068
9	10	1043
10	11	1026
11	12	1011
12	13	1001
13	14	990
14	14	980
15	15	968
16	16	959
17	17	959
18	18	952
19	19	945
20	20	939
21	21	948
22	22	951
23	23	948
24	24	942
25	25	936
26	25	931
27	26	925
28	27	926
29	28	921
30	29	916
31	30	911
32	30	908
33	31	904
34	32	900
35	33	896
36	34	893
37	35	895
38	36	895
39	37	893
40	38	891
41	38	888
42	39	886
43	40	883
44	41	883
45	42	885
46	43	883
47	44	880
48	45	881
49	46	878
50	47	876
51	47	873
52	48	872
53	49	872
54	50	874
55	51	874
56	52	872
57	53	871
58	54	869
59	55	866
60	56	864
61	56	861
62	57	859
63	58	857
64	59	854
65	60	852
66	61	850
67	61	848
68	62	846
69	63	846
70	64	844
71	65	843
72	66	842
73	67	841
74	68	841
75	69	841
76	70	840
77	71	839
78	71	837
79	72	837
80	73	835
81	74	833
82	74	827
83	75	825
84	76	823
85	77	823
86	78	825
87	79	825
88	80	825
89	81	825
90	82	824
91	83	823
92	84	821
93	85	819
94	85	817
95	86	815
96	87	814
97	88	812
98	89	810
99	89	808
100	90	807
101	91	806
102	92	804
103	93	803
104	94	802
105	95	801
106	96	802
107	97	801
108	97	800
109	98	799
110	99	797
111	100	796
112	101	794
113	102	793
114	102	791
115	103	790
116	104	787
117	105	785
118	106	784
119	106	783
120	107	781
121	108	779
122	109	780
123	110	779
124	111	778
125	111	776
126	112	774
127	113	772
128	114	771
129	115	770
130	115	768
131	116	767
132	117	765
133	118	764
134	119	763
135	119	761
136	120	760
137	121	759
138	122	758
139	123	757
140	124	757
141	125	755
142	125	754
143	126	753
144	127	752
145	128	750
146	129	749
147	129	748
148	130	746
149	131	745
150	132	744
151	133	743
152	134	742
153	134	740
154	135	739
155	136	738
156	137	737
157	138	736
158	139	735
159	139	734
160	140	732
161	141	731
162	142	729
163	142	728
164	143	727
165	144	726
166	145	725
167	146	723
168	146	722
169	147	721
170	148	720
171	149	719
172	150	718
173	151	716
174	151	715
175	152	714
176	153	713
177	154	712
178	155	711
179	155	710
180	156	709
181	157	708
182	158	707
183	159	705
184	159	704
185	160	703
186	161	702
187	162	701
188	163	700
189	164	699
190	165	698
191	165	697
192	166	696
193	167	695
194	168	694
195	169	693
196	169	692
197	170	691
198	171	691
199	172	690
200	173	690
201	174	688
202	175	687
203	175	686
204	176	685
205	177	684
206	178	683
207	179	682
208	179	681
209	180	680
210	181	679
211	182	679
212	183	678
213	184	677
214	185	676
215	186	675
216	186	674
217	187	673
218	188	672
219	189	671
220	190	670
221	190	668
222	191	667
223	192	666
224	193	665
225	194	664
226	194	663
227	195	662
228	196	661
229	197	660
230	198	659
231	199	659
232	200	659
233	201	659
234	202	658
235	202	657
236	203	655
237	204	654
238	205	653
239	206	652
240	206	651
241	207	650
242	208	649
243	209	648
244	210	647
245	210	646
246	211	645
247	212	644
248	213	643
249	214	643
250	215	642
251	215	641
252	216	640
253	217	639
254	218	638
255	219	636
256	219	635
257	220	634
258	221	633
259	222	632
260	223	631
261	223	630
262	224	629
263	225	629
264	226	628
265	227	627
266	228	626
267	229	625
268	230	625
269	230	624
270	231	623
271	232	622
272	233	621
273	234	620
274	234	619
275	235	618
276	236	617
277	237	616
278	238	615
279	238	614
280	239	613
281	240	612
282	241	611
283	242	610
284	243	610
285	244	609
286	244	608
287	245	607
288	246	606
289	247	605
290	248	604
291	248	603
292	249	602
293	250	601
294	251	600
295	252	599
296	252	598
297	253	597
298	254	596
299	255	596
300	256	595
301	257	594
302	258	593
303	258	592
304	259	591
305	260	591
306	261	590
307	262	589
308	263	588
309	264	588
310	265	587
311	265	586
312	266	585
313	267	584
314	268	583
315	269	582
316	270	581
317	270	581
318	271	580
319	272	579
320	273	578
321	274	578
322	275	577
323	276	576
324	277	575
325	277	574
326	278	573
327	279	572
328	280	571
329	281	570
330	281	569
331	282	568
332	283	567
333	284	566
334	285	565
335	285	565
336	286	564
337	287	563
338	288	562
339	289	561
340	290	561
341	291	560
342	291	559
343	292	558
344	293	557
345	294	556
346	295	555
347	295	554
348	296	553
349	297	552
350	298	551
351	298	550
352	299	549
353	300	548
354	301	547
355	302	547
356	303	546
357	304	545
358	304	544
359	305	543
360	306	542
361	307	541
362	308	540
363	308	539
364	309	538
365	310	537
366	311	536
367	312	535
368	312	535
369	313	534
370	314	533
371	315	532
372	316	532
373	317	531
374	318	530
375	319	529
376	319	528
377	320	527
378	321	526
379	322	526
380	323	525
381	324	524
382	324	523
383	325	522
384	326	521
385	327	520
386	327	519
387	328	518
388	329	517
389	330	517
390	331	516
391	332	515
392	333	514
393	334	513
394	334	512
395	335	511
396	336	511
397	337	510
398	338	509
399	338	508
400	339	507
401	340	506
402	341	505
403	342	505
404	343	504
405	344	503
406	345	502
407	345	502
408	346	501
409	347	500
410	348	499
411	349	498
412	350	497
413	350	496
414	351	495
415	352	494
416	353	493
417	354	492
418	354	491
419	355	491
420	356	490
421	357	489
422	358	488
423	359	487
424	359	486
425	360	486
426	361	485
427	362	484
428	363	483
429	364	482
430	365	482
431	365	481
432	366	480
433	367	479
434	368	478
435	369	477
436	370	476
437	370	475
438	371	474
439	372	474
440	373	473
441	374	472
442	374	471
443	375	470
444	376	469
445	377	468
446	378	468
447	379	467
448	379	466
449	380	465
450	381	464
451	382	463
452	383	462
453	383	461
454	384	460
455	385	459
456	386	459
457	387	458
458	387	457
459	388	456
460	389	455
461	390	454
462	391	454
463	392	453
464	393	452
465	394	451
466	394	450
467	395	449
468	396	449
469	397	448
470	398	447
471	399	446
472	399	445
473	400	444
474	401	443
475	402	442
476	403	442
477	404	441
478	405	440
479	406	439
480	407	439
481	408	438
482	408	437
483	409	436
484	410	435
485	411	435
486	412	434
487	413	433
488	414	432
489	414	431
490	415	431
491	416	430
492	417	429
493	418	428
494	419	428
495	420	427
496	421	426
497	422	426
498	423	425
499	424	424
500	425	423
501	426	422
502	427	422
503	427	421
504	428	420
505	429	419
506	430	418
507	431	417
508	432	417
509	433	416
510	434	415
511	435	414
512	436	414
513	437	413
514	438	412
515	439	411
516	439	410
517	440	410
518	441	409
519	442	408
520	443	407
521	444	407
522	445	406
523	446	405
524	447	404
525	449	404
526	450	403
527	451	403
528	451	402
529	452	401
530	453	400
531	454	399
532	455	399
533	456	398
534	457	397
535	458	396
536	459	395
537	460	395
538	460	394
539	461	393
540	462	392
541	463	391
542	464	390
543	465	390
544	466	389
545	467	388
546	467	387
547	468	386
548	469	385
549	470	384
550	471	383
551	471	383
552	472	382
553	473	381
554	474	380
555	475	379
556	476	378
557	477	377
558	477	376
559	478	376
560	479	375
561	480	374
562	481	373
563	482	372
564	482	371
565	483	370
566	484	369
567	485	369
568	486	368
569	486	367
570	487	366
571	488	365
572	489	364
573	490	364
574	491	363
575	492	362
576	493	361
577	494	360
578	495	359
579	495	359
580	496	358
581	497	357
582	498	356
583	499	355
584	499	354
585	500	353
586	501	352
587	502	351
588	503	351
589	503	350
590	504	349
591	505	348
592	506	347
593	507	346
594	508	345
595	508	344
596	509	344
597	510	343
598	511	342
599	512	341
600	512	340
601	513	339
602	514	338
603	515	337
604	516	336
605	516	336
606	517	335
607	518	334
608	519	333
609	520	332
610	520	331
611	521	330
612	522	329
613	523	329
614	524	328
615	525	327
616	525	326
617	526	325
618	527	324
619	528	323
620	529	322
621	529	322
622	530	321
623	531	320
624	532	319
625	533	318
626	533	317
627	534	316
628	535	315
629	536	315
630	537	314
631	538	313
632	538	312
633	539	311
634	540	310
635	541	309
636	542	308
637	542	308
638	543	307
639	544	306
640	545	305
641	546	304
642	546	303
643	547	302
644	548	301
645	549	301
646	550	300
647	551	299
648	551	298
649	552	297
650	553	296
651	554	295
652	555	295
653	556	294
654	557	293
655	557	292
656	558	291
657	559	290
658	560	289
659	561	289
660	561	288
661	562	287
662	563	286
663	564	285
664	565	284
665	566	283
666	566	283
667	567	282
668	568	281
669	569	280
670	570	279
671	571	278
672	572	277
673	572	277
674	573	276
675	574	275
676	575	274
677	576	273
678	576	272
679	577	271
680	578	271
681	579	270
682	580	269
683	581	268
684	582	267
685	582	266
686	583	266
687	584	265
688	585	264
689	586	263
690	587	262
691	588	261
692	588	260
693	589	259
694	590	259
695	591	258
696	592	257
697	592	256
698	593	255
699	594	254
700	595	253
701	596	253
702	597	252
703	597	251
704	598	250
705	599	249
706	600	248
707	601	247
708	601	247
709	602	246
710	603	245
711	604	244
712	605	243
713	605	242
714	606	241
715	607	240
716	608	240
717	609	239
718	609	238
719	610	237
720	611	236
721	612	235
722	613	235
723	614	234
724	615	233
725	616	232
726	616	231
727	617	230
728	618	229
729	619	229
730	620	228
731	620	227
732	621	226
733	622	225
734	623	224
735	624	223
736	624	223
737	625	222
738	626	221
739	627	220
740	628	219
741	629	218
742	629	217
743	630	217
744	631	216
745	632	215
746	633	214
747	633	213
748	634	212
749	635	211
750	636	210
751	637	210
752	638	209
753	638	208
754	639	207
755	640	206
756	641	205
757	642	205
758	643	204
759	643	203
760	644	202
761	645	201
762	646	200
763	647	199
764	647	199
765	648	198
766	649	197
767	650	196
768	651	195
769	651	194
770	652	193
771	653	193
772	654	192
773	655	191
774	656	190
775	656	189
776	657	188
777	658	187
778	659	187
779	660	186
780	661	185
781	661	184
782	662	183
783	663	182
784	664	182
785	665	181
786	666	180
787	667	179
788	667	178
789	668	177
790	669	176
791	670	176
792	671	175
793	672	174
794	672	173
795	673	172
796	674	171
797	675	170
798	676	170
799	676	169
800	677	168
801	678	167
802	679	166
803	680	165
804	680	164
805	681	164
806	682	163
807	683	162
808	684	161
809	684	160
810	685	159
811	686	158
812	687	158
813	688	157
814	689	156
815	689	155
816	690	154
817	691	153
818	692	153
819	693	152
820	694	151
821	695	150
822	695	149
823	696	148
824	697	147
825	698	147
826	699	146
827	699	145
828	700	144
829	701	143
830	702	142
831	703	142
832	704	141
833	704	140
834	705	139
835	706	138
836	707	137
837	708	136
838	708	136
839	709	135
840	710	134
841	711	133
842	712	132
843	712	131
844	713	130
845	714	130
846	715	129
847	716	128
848	717	127
849	718	126
850	719	125
851	719	125
852	720	124
853	721	123
854	722	122
855	723	121
856	723	120
857	724	119
858	725	119
859	726	118
860	727	117
861	728	116
862	729	115
863	729	114
864	730	114
865	731	113
866	732	112
867	733	111
868	733	110
869	734	109
870	735	108
871	736	108
872	737	107
873	737	106
874	738	105
875	739	104
876	740	103
877	741	102
878	741	102
879	742	101
880	743	100
881	744	99
882	745	98
883	746	97
884	746	97
885	747	96
886	748	95
887	749	94
888	750	93
889	751	92
890	751	91
891	752	91
892	753	90
893	754	89
894	755	88
895	756	87
896	756	86
897	757	86
898	758	85
899	759	84
900	760	83
901	761	82
902	761	81
903	762	80
904	763	80
905	764	79
906	765	78
907	765	77
908	766	76
909	767	75
910	768	75
911	769	74
912	769	73
913	770	72
914	771	71
915	772	70
916	773	69
917	774	69
918	774	68
919	775	67
920	776	66
921	777	65
922	778	64
923	778	64
924	779	63
925	780	62
926	781	61
927	782	60
928	782	59
929	783	58
930	784	58
931	785	57
932	786	56
933	787	55
934	787	54
935	788	53
936	789	53
937	790	52
938	791	51
939	792	50
940	792	49
941	793	48
942	794	48
943	795	47
944	796	46
945	796	45
946	797	44
947	798	43
948	799	42
949	800	42
950	800	41
951	801	40
952	802	39
953	803	38
954	804	37
955	805	37
956	806	36
957	806	35
958	807	34
959	808	33
960	809	32
961	810	32
962	811	31
963	811	30
964	812	29
965	813	28
966	814	27
967	814	26
968	815	26
969	816	25
970	817	24
971	818	23
972	819	22
973	820	21
974	821	21
975	822	20
976	822	19
977	823	18
978	824	17
979	825	16
980	826	16
981	826	15
982	827	14
983	828	13
984	829	12
985	830	11
986	830	10
987	831	10
988	832	9
989	833	8
990	834	7
991	835	6
992	835	5
993	836	5
994	837	4
995	838	3
996	839	2
997	839	1
998	840	0
999	841	0
